id,text,rating,title,likes,date_published,name,number_of_review,country_code,text_clean
68b951e16796366d612c0a5a,I ordered tshirt of 83£ and did a partial return of 40£ but the refunded me 31£. And when I contact the customer support. The guy was so so so rude. He said why are you contacting when you can see it in your app. VERY BAD EXPERIENCE. 👎 😕 ,1,Ordered tshirt of 83£ and did a partial…,0,2025-09-04 10:46:25+00:00,MZ Iqbal,2,GB,i ordered tshirt of 83£ and did a partial return of 40£ but the refunded me 31£. and when i contact the customer support. the guy was so so so rude. he said why are you contacting when you can see it in your app. very bad experience. 👎 😕 
68b9508a183d3a0e366f4055,"AWFUL! Still waiting for a refund that was apparently processed “two weeks ago” speaking to ASOS customer service is like speaking to a brick wall, painful! Raising charge back with my bank.",1,AWFUL,0,2025-09-04 10:40:42+00:00,Danielle,68,GB,"awful! still waiting for a refund that was apparently processed “two weeks ago” speaking to asos customer service is like speaking to a brick wall, painful! raising charge back with my bank."
68b93c80ca0e2a5da9e471f2,Love asos fast delivery and selection - but the amount of times I’ve had the wrong item sent and it’s usually when you want to wear that item the day of delivery ! ,4,Great selection ,0,2025-09-04 09:15:12+00:00,Elle,3,GB,love asos fast delivery and selection - but the amount of times i’ve had the wrong item sent and it’s usually when you want to wear that item the day of delivery ! 
68b8afadbca99a540889a0eb,Dreadful customer care. My order hasn’t arrived within the time frame confirmed. The agent just keeps saying “No worries” and is not understanding that I won’t be here to accept the order. Dreadful service ,1,Dreadful customer care,0,2025-09-03 23:14:21+00:00,"Charlotte, Swansea",8,GB,dreadful customer care. my order hasn’t arrived within the time frame confirmed. the agent just keeps saying “no worries” and is not understanding that i won’t be here to accept the order. dreadful service 
68b88f6f5a626c5041eea2c4,"I ordered a baseball cap from ASOS, as I am a premium member and pay for next day delivery, I got the item the following day as promised, however the delivery was shocking it was tossed over my gate, with the box half open and it had been raining heavily, which I know has nothing to do with asos, however I needed it that day, so the peak of the hat had some water damage I didn’t want to send it back as I wanted to wear it the following day, I sent pictures of the damage to them, they said they couldn’t do anything about it unless was sent back, which I didn’t want to do, no discount code or credit as an apology nothing, I was unsatisfied to say the least. ",1,I ordered a baseball cap from ASOS,0,2025-09-03 20:56:48+00:00,Matty Edmond,2,GB,"i ordered a baseball cap from asos, as i am a premium member and pay for next day delivery, i got the item the following day as promised, however the delivery was shocking it was tossed over my gate, with the box half open and it had been raining heavily, which i know has nothing to do with asos, however i needed it that day, so the peak of the hat had some water damage i didn’t want to send it back as i wanted to wear it the following day, i sent pictures of the damage to them, they said they couldn’t do anything about it unless was sent back, which i didn’t want to do, no discount code or credit as an apology nothing, i was unsatisfied to say the least. "
68b886551bcdff7e0a337c9c,"Very poor service. Ordered a pair of Arket jeans, they sent the wrong colour. They then said to return them the usual way & order again. Bearing in mind it takes ASOS 3-4 weeks to process a refund (why?) I thought this was an annoying solution. No offer of a discount or expedited return even though it’s their mistake. I sent them back & ordered directly from the retailer Arket instead. ",1,Very poor service,0,2025-09-03 20:17:57+00:00,Elaine,4,IE,"very poor service. ordered a pair of arket jeans, they sent the wrong colour. they then said to return them the usual way & order again. bearing in mind it takes asos 3-4 weeks to process a refund (why?) i thought this was an annoying solution. no offer of a discount or expedited return even though it’s their mistake. i sent them back & ordered directly from the retailer arket instead. "
68b8803abfe6b8c31974c787,"Have spent £000s with them over the years tried to return items 2 days beyond the return date the earliest able to return due to issues
On line chat when you try to make contact is the worst constantly disconnected but no issues according to them
Customer service do not listen too reason even when escalate complaint you  may as well speak to the robotic online assistant worst customer service I have experienced absolute disgrace 
ASOS has changed and not for the better 
I will never use them again I would rather use more credible sites only got 1 star as can not give less",1,Worst customer service ever ,0,2025-09-03 19:51:54+00:00,Consumer,2,GB,"have spent £000s with them over the years tried to return items 2 days beyond the return date the earliest able to return due to issues
on line chat when you try to make contact is the worst constantly disconnected but no issues according to them
customer service do not listen too reason even when escalate complaint you  may as well speak to the robotic online assistant worst customer service i have experienced absolute disgrace 
asos has changed and not for the better 
i will never use them again i would rather use more credible sites only got 1 star as can not give less"
68b87429ebabd8b9cf80129c,"Received items. 
Both items faulted.
Immediately contacted ASOS to report that the pair of trainers had a mark on them and the belt loop on the pants was snapped on arrival. I had bought them for an upcoming holiday so was not able to return them right away. No suitable solution offered by ASOS ",1,Inflexible returns service,0,2025-09-03 19:00:25+00:00,Daryl Patterson,7,GB,"received items. 
both items faulted.
immediately contacted asos to report that the pair of trainers had a mark on them and the belt loop on the pants was snapped on arrival. i had bought them for an upcoming holiday so was not able to return them right away. no suitable solution offered by asos "
68b87418a0666daf7e640c28,"ABSOLUTELY AVOID  ORDERING ANYTHING FROM THIS DREADFUL  COMPANY - No  phone  to  call them  about  my returns  , NO Customer  Service, NO  Email contact  and I  was  sent  a  corrupt email and  my local  Post  Office  couldn't  even  get the bar code  to  work to  do  what  should  have  been  a  simple  return.

So now  I'v e  had  to pay to  send  £67.49 worth of  goods  back  to this  address  : Asos DC2, GXO logistics, Armthorpe, Doncaster DN3 3FB  UK .
They  received  my   returns  which i  paid £6.65on  20th August 2025  and  still no  notification  of  my  refund  if  I DONT GET IT, I  WILL BE  CONTACTING MY  BANK AND TAKING  LEGAL  ADVICE  WITH  CONSUMER RIGHTS  LAW  2015. 
 ",1,ABSOLUTELY AVOID  ORDERING ANYTHING…,0,2025-09-03 19:00:08+00:00,Marie Reagan,86,GB,"absolutely avoid  ordering anything from this dreadful  company - no  phone  to  call them  about  my returns  , no customer  service, no  email contact  and i  was  sent  a  corrupt email and  my local  post  office  couldn't  even  get the bar code  to  work to  do  what  should  have  been  a  simple  return.

so now  i'v e  had  to pay to  send  £67.49 worth of  goods  back  to this  address  : asos dc2, gxo logistics, armthorpe, doncaster dn3 3fb  uk .
they  received  my   returns  which i  paid £6.65on  20th august 2025  and  still no  notification  of  my  refund  if  i dont get it, i  will be  contacting my  bank and taking  legal  advice  with  consumer rights  law  2015. 
 "
68b86ee657c9d05ee0da7e20,I have placed an order for over £400 and the items have never arrived. I tried 3 redelivery attempts  with Royal Mail and nothing was received. I contacted ASOS online chat and they are unable to help. This is terrible i will make a formal complaint for my money back. ,1,I have placed an order for over £400…,0,2025-09-03 18:37:58+00:00,ISABELLA FERREIRA,10,GB,i have placed an order for over £400 and the items have never arrived. i tried 3 redelivery attempts  with royal mail and nothing was received. i contacted asos online chat and they are unable to help. this is terrible i will make a formal complaint for my money back. 
